Find the common rule that maps an input grid to an output grid, given the examples below.

Example 1:

Input:
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 2 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 2 2 2 0 8 0 0 0 0 0 8 0 2 2 2 0
0 0 2 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 2 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 2 0 2 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 2 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 2 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 2 2 2 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 2 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
Output:
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 2 0 0 8 0 0 8 0 0 8 0 0 8 0 0
0 2 2 2 0 8 0 8 8 8 0 8 0 2 2 2 0
0 0 2 0 0 8 0 0 8 0 0 8 0 0 8 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 8 0 0 8 0 0 2 0 0 8 0 0 8 0 0
0 8 8 8 0 8 0 2 8 2 0 8 0 8 8 8 0
0 0 8 0 0 8 0 0 2 0 0 8 0 0 8 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 2 0 0 8 0 0 8 0 0 8 0 0 8 0 0
0 2 2 2 0 8 0 8 8 8 0 8 0 8 8 8 0
0 0 2 0 0 8 0 0 8 0 0 8 0 0 8 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 1 1 1 0 2 0 0 0 0 0 2 0 0 1 1 0
0 1 1 1 0 2 0 1 1 0 0 2 0 0 0 0 0
0 1 1 1 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 1 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 1 0 1 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
Output:
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 1 1 1 0 2 0 2 2 2 0 2 0 2 1 1 0
0 1 1 1 0 2 0 1 1 2 0 2 0 2 2 2 0
0 1 1 1 0 2 0 2 2 2 0 2 0 2 2 2 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 2 2 2 0 2 0 2 2 2 0 2 0 2 2 2 0
0 2 2 2 0 2 0 2 2 2 0 2 0 2 1 2 0
0 2 2 2 0 2 0 2 2 2 0 2 0 2 2 2 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 2 2 2 0 2 0 2 1 2 0 2 0 2 2 2 0
0 2 2 2 0 2 0 1 2 1 0 2 0 2 2 2 0
0 2 2 2 0 2 0 2 1 2 0 2 0 2 2 2 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 3 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 3 0 3 0 1 0 3 0 0 0 1 0 0 0 3 0
0 0 3 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 3 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 3 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 3 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 3 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
Output:
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 3 0 0 1 0 0 1 0 0 1 0 0 1 0 0
0 3 0 3 0 1 0 3 0 1 0 1 0 1 0 3 0
0 0 3 0 0 1 0 0 1 0 0 1 0 0 1 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 3 0 0 1 0 0 1 0 0 1 0 0 1 0 0
0 3 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 3 0
0 0 1 0 0 1 0 0 1 0 0 1 0 0 3 0 0
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 4 4 4 0 9 0 4 4 0 0 9 0 0 0 0 0
0 4 0 4 0 9 0 0 0 0 0 9 0 0 0 0 0
0 4 4 4 0 9 0 0 0 0 0 9 0 0 0 0 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 0 4 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 4 0 4 0 9 0 0 0 0 0 9 0 0 0 0 0
0 0 4 0 0 9 0 4 4 0 0 9 0 0 0 0 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 0 0 0 0 9 0 4 0 4 0 9 0 0 0 0 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
Output:
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 4 4 4 0 9 0 4 4 9 0 9 0 9 9 9 0
0 4 0 4 0 9 0 9 0 9 0 9 0 9 0 9 0
0 4 4 4 0 9 0 9 9 9 0 9 0 9 9 9 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 9 4 9 0 9 0 9 9 9 0 9 0 9 9 9 0
0 4 0 4 0 9 0 9 0 9 0 9 0 9 0 9 0
0 9 4 9 0 9 0 4 4 9 0 9 0 9 9 9 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 9 9 9 0 9 0 9 9 9 0 9 0 9 9 9 0
0 9 0 9 0 9 0 4 0 4 0 9 0 9 0 9 0
0 9 9 9 0 9 0 9 9 9 0 9 0 9 9 9 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 1 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 1 1 1 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 1 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 0 4 0 0 1 0 0 4 0 0 1 0 0
0 0 0 0 0 4 0 0 1 0 0 4 0 0 1 1 0
0 0 0 0 0 4 0 0 1 0 0 4 0 0 0 0 0
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 0 4 0 0 1 0 0 4 0 0 1 0 0
0 0 0 0 0 4 0 0 0 1 0 4 0 1 1 1 0
0 0 0 0 0 4 0 0 1 0 0 4 0 0 1 0 0
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
Output:
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 1 0 0 4 0 0 4 0 0 4 0 0 4 0 0
0 1 1 1 0 4 0 4 4 4 0 4 0 4 4 4 0
0 0 1 0 0 4 0 0 4 0 0 4 0 0 4 0 0
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 4 0 0 4 0 0 1 0 0 4 0 0 1 0 0
0 4 4 4 0 4 0 4 1 4 0 4 0 4 1 1 0
0 0 4 0 0 4 0 0 1 0 0 4 0 0 4 0 0
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
